product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
0000000000000,Purified drinking water,500 ml,Rehaan ice,KE,Al Hatim Traders,KE,https://wastebase.org/#/o/f434a282-c578-461d-b773-307feb39c462,,113
0000000000086,Original,500 ml,Coca-Cola,US,Coca-Cola,CA,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1
0000023015364,Tomatoes,750 g,Aldi,DE,ALDI Einkauf SE & Co. oHG,GB,https://wastebase.org/#/o/3642cf76-4a7b-4304-a535-e96ae4a83c79,,1
0002148012112,7up,500 ml,7UP,US,Keurig Dr Pepper Inc.,GB,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,1
00054676,Big8,500 ml,big8,CA,Empire Company Limited,CA,https://wastebase.org/#/o/5fcf39bd-870f-4cee-bc8f-16e2c93077c0,,2
001234003331,Kumbucha Alcoholic Drink,500 ml,Kabisa,UG,Oyoma General stores LTD,MW,https://wastebase.org/#/o/75ad3034-3ad3-4b2e-ac7b-33399e7f9922,,28
001234003331,Kumbucha Alcoholic Drink,500 ml,Kabisa,UG,Oyoma General stores LTD,MZ,https://wastebase.org/#/o/75ad3034-3ad3-4b2e-ac7b-33399e7f9922,,10
001234003331,Kumbucha Alcoholic Drink,500 ml,Kabisa,UG,Oyoma General stores LTD,UG,https://wastebase.org/#/o/75ad3034-3ad3-4b2e-ac7b-33399e7f9922,,2
001234003348,Alcoholic Kombucha Drink,200 ml,Kabisa,UG,Oyoma General stores LTD,UG,https://wastebase.org/#/o/75ad3034-3ad3-4b2e-ac7b-33399e7f9922,,1
0014188991012,Tampico Drink,300 ml,Tampico,US,Houchens Industries Inc.,GH,https://wastebase.org/#/o/3626e7ac-e6c3-4269-a399-0c0421135c28,,50
00151917,Madagascan Vanilla Custard,500 g,M&S Food,GB,Marks and Spencer plc,GB,https://wastebase.org/#/o/8e95169e-b45a-4c9c-b37f-fdde51861730,,1
0016571957711,Peach,503ml,Sparkling Ice,US,"TALKING RAIN BEVERAGE COMPANY, INC.",CA,https://wastebase.org/#/o/a7deffed-62b3-4bff-99bb-6b6087d6abe3,,2
0016600000760,Schweppes Gingerale,710ml,Schweppes,US,Coca-Cola,CA,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1
0016600010240,Schweppes Gingerale,591 ml,Schweppes,US,Coca-Cola,CA,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,2
0017211182562,G-Zero,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0017273504494,Real Mayonnaise,473ml,American Garden,US,Global Export Marketing Co. Ltd.,TZ,https://wastebase.org/#/o/7c77eeb9-6b2e-4554-a985-1596ef7cf811,,1
0018112317305,Custard,500 g,Tesco Finest,GB,Tesco PLC,GB,https://wastebase.org/#/o/9564612d-8467-47d1-b730-d07b25946cc6,,1
0021041001634,Striker Gin,50 ml,Striker Gin,GH,1 Africa Industries Limited,GH,https://wastebase.org/#/o/be33c175-2d38-4871-8575-a2b775cadf76,,112
0021468375004,Chocolate Drink,250 g,Nestlé,CH,Nestlé S.A.,ZA,https://wastebase.org/#/o/59163cd7-c4b7-4834-b8f5-a5113e2084db,,1
0025833820458,Óleo de soja refinado,5.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,22
0025833821028,Óleo de soja refinado,2.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,150
0025833821059,Óleo de girassol refinado,5.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,72
0025833821219,Óleo da Cozinha,1.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,5
00258388,mo energy,400 ml,Mo Xtra,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,1
0025900227333,Cigar,5.0 g,Swisher,US,Swisher International Inc.,US,https://wastebase.org/#/o/8e4048b3-bc1b-49f8-9e88-de3175861133,,1
0028400040112,Cheese flavored snack,28 g,Cheetos,US,"Pepsico, Inc",GB,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
0028400040112,Cheese flavored snack,28 g,Cheetos,US,"Pepsico, Inc",US,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
00300551,"Eat now, eat later hass avocados",100 g,M&S Food,GB,Marks and Spencer plc,GB,https://wastebase.org/#/o/8e95169e-b45a-4c9c-b37f-fdde51861730,,1
0031200025753,Cran-Pineapple,1.89 L,Ocean Spray,US,"Ocean Spray Cranberries, Inc.",CA,https://wastebase.org/#/o/01f01c18-6923-440e-854a-8f4419300790,,1
0031200046086,100% Juice Blend Cranberry,1.77 L,Ocean Spray,US,"Ocean Spray Cranberries, Inc.",CA,https://wastebase.org/#/o/01f01c18-6923-440e-854a-8f4419300790,,7
0033844001193,The Original Badia,340 g,Badia Seasoning,GB,Badia Spices,GH,https://wastebase.org/#/o/c26da86f-d00c-4887-b26c-a1e448ac7cc7,,13
0034000939572,Reese's peanut butter cups,42 g,Reese's,US,Hershey's,GB,https://wastebase.org/#/o/ef561c00-c23e-4ca2-a1aa-2e850fe2f53c,,2
00358767,Vegetable oil,1 L,Sainsbury's,GB,J Sainsbury plc,GB,https://wastebase.org/#/o/5f838907-d73e-4fb2-b6f9-952d19ce1105,,1
0040232647048,Vida Em Cada Gota,600 ml,Agua da Montanha,MZ,Montana Namaacha,CD,https://wastebase.org/#/o/8305d106-053b-4ddb-9b5f-567daded9fe1,,1
00415668,Extra Virgin Olive Oil,1.0 L,Sainsbury's,GB,J Sainsbury plc,GB,https://wastebase.org/#/o/5f838907-d73e-4fb2-b6f9-952d19ce1105,,1
00415668,Extra Virgin Olive Oil,1.0 L,Sainsbury's,GB,J Sainsbury plc,MZ,https://wastebase.org/#/o/5f838907-d73e-4fb2-b6f9-952d19ce1105,,3
0041990050019,Still Natural Mineral Water,500 ml,Ballygowan,GB,Britvic plc,IE,https://wastebase.org/#/o/a4e2ac23-2e88-4f21-9538-b903394496f5,,2
00433662,Sparkling Strawberry and Kiwi,1.0 L,Sainsbury's,GB,J Sainsbury plc,GB,https://wastebase.org/#/o/5f838907-d73e-4fb2-b6f9-952d19ce1105,,1
0043800245189,Perla,500 ml,Perla (GH),GH,Multi Pac ltd,GH,https://wastebase.org/#/o/90f7b2fc-631d-4912-ab12-1bf2056b0301,,1
0048415411301,Vodka,375 ml,Polar Ice,FR,Pernod Richard,CA,https://wastebase.org/#/o/12ad4551-65b8-42cc-8804-34417ef51906,,5
0050200013218,Sunny D,240 ml,SunnyD,US,Harvest Hill Beverage Company,CA,https://wastebase.org/#/o/5856be1e-075e-4642-be6d-b0fc646e41d0,,2
00519779,Mountain Spring Water,500 ml,Arrowhead,US,BlueTriton Inc.,US,https://wastebase.org/#/o/3229db68-ab05-4966-8085-873953919b27,,1
0054900000608,Drink,2.0 L,Dr. Pepper,US,Keurig Dr Pepper Inc.,CA,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,2
0055477420271,Cool Blue,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0055500402946,Pine-Sol,828 ml,Pine-Sol,US,The Clorox Company,CA,https://wastebase.org/#/o/53e840cc-46c6-4abd-9a2b-a997c3379828,,3
0055511221024,Cool Blue Carbonated Drink,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0055577420232,Lime,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,5
0055577420263,Fruit Punch,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,3
0055577420515,Blue Cool Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,5
0055577420515,Blue Cool Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",RW,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,4
0055577420751,Gatorade,591ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
0055577420928,Orange Half the Sugar,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,5
0055577420935,G2 Fruit Punch Half the Sugar,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,7
0055577420942,G2 Half The Sugar Grape,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,3
0055577420959,G2 Blueberry Pomegranate,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,3
0055577421000,Fruit Punch,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0055577421017,Lemon Lime,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
0055577421024,G Cool Blue,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,6
0055742534375,Compliments Lemon Lime Sparkling Water,1L,Compliments,CA,Empire Company Limited,CA,https://wastebase.org/#/o/5fcf39bd-870f-4cee-bc8f-16e2c93077c0,,1
0055742550184,compliments Mandarin Orange Sparkling Water,1L,Compliments,CA,Empire Company Limited,CA,https://wastebase.org/#/o/5fcf39bd-870f-4cee-bc8f-16e2c93077c0,,1
0055742550221,Orange Mango,503ml,Compliments,CA,Empire Company Limited,CA,https://wastebase.org/#/o/5fcf39bd-870f-4cee-bc8f-16e2c93077c0,,1
0055900001411,Primo Spaghetti,900 g,Primo,CA,Primo Foods Inc.,GH,https://wastebase.org/#/o/0982ccb0-2b89-48dd-b204-7160cb373080,,50
0056000004609,Orange,710 ml,Crush,US,Keurig Dr Pepper Inc.,CA,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,1
0056920012012,Yop,266 ml,Yoplait,US,"General Mills, Inc",CA,https://wastebase.org/#/o/a50bb239-3db4-4bbc-a42a-5107dcf79f54,,5
0056920012258,Yop,200ml,Yoplait,US,"General Mills, Inc",CA,https://wastebase.org/#/o/a50bb239-3db4-4bbc-a42a-5107dcf79f54,,1
0056920012272,Vanilla Yop,200 ml,Yoplait,US,"General Mills, Inc",CA,https://wastebase.org/#/o/a50bb239-3db4-4bbc-a42a-5107dcf79f54,,7
0057271160025,Frost Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,3
0057271160278,Frost,591,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0057271162562,G Zero Orange,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,6
0057271162586,G-Zero Lemon Lime,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,3
0057271162609,G-Zero Berry,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
